"matches played","total points earned","Most points in a match","not out %","total raids","Successful Raids %","No of Super Raids","Super 10s","Total Raid Points","Average Raid Points / Match","No of super tackles","high 5s","Total tackle points","average tackle / match","Total tackles","TACKLE STRIKE RATE","player_name","team"
"75","673","17","79.81 %","1159","57.29","19","29","664","8.85","1","0","9","0.1","43","20.93 %","Maninder Singh","bwarriors"
"79","357","12","76.91 %","797","44.04","6","10","351","4.44","0","0","6","0.07","48","12.5 %","K. Prapanjan","bwarriors"
"3","1","1","25 %","4","0","0","0","0","0","0","0","1","0.33","4","25 %","Mohammad Taghi Paein Mahali","bwarriors"
"25","52","6","77.95 %","127","39.37","4","0","50","2","0","0","2","0.08","13","15.38 %","Rakesh Narwal","bwarriors"
"17","47","8","75.22 %","109","37.61","2","0","41","2.41","0","0","6","0.35","20","30 %","Ravindra Ramesh Kumawat","bwarriors"
"94","395","15","83.47 %","920","41.3","15","1","380","4.04","2","0","15","0.13","91","16.48 %","Sukesh Hegde","bwarriors"
"3","1","1","0","0","0","0","0","0","0","0","0","1","0.33","8","12.5 %","Naveen Narwal","bwarriors"
"3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","Amit","bwarriors"
"34","72","7","66.66 %","6","16.66","0","0","1","0.02","8","6","71","1.85","147","48.29 %","Baldev Singh","bwarriors"
"108","222","9","100 %","4","25","0","0","1","0","22","5","221","1.84","473","46.72 %","Jeeva Kumar","bwarriors"
"33","28","3","0","0","0","0","0","0","0","0","0","28","0.84","107","26.16 %","Viraj Vishnu Landge","bwarriors"
"18","17","4","100 %","1","200","0","0","2","0.11","3","0","15","0.66","31","48.38 %","Adarsh T","bwarriors"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Dharmendra Singh","bwarriors"
"44","85","7","88.23 %","17","11.76","0","0","2","0.04","7","4","83","1.72","171","48.53 %","Rinku Narwal","bwarriors"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Amir Santosh Dhumal","bwarriors"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Avinash A. R.","bwarriors"
"16","86","10","80.5 %","159","38.99","3","1","62","3.87","2","1","24","1.37","44","54.54 %","Mohammad Esmaeil Nabibakhsh","bwarriors"
"28","33","3","68.85 %","61","14.75","0","0","9","0.32","0","0","24","0.85","85","28.23 %","Mayur Shivtarkar","bwarriors"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sourabh Tanaji Patil","bwarriors"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sunil Manik Dubile","bwarriors"
"88","689","32","79.26 %","1384","46.96","14","25","650","7.38","2","1","39","0.42","103","37.86 %","Rohit Kumar","bbulls"
"9","11","4","64.28 %","28","32.14","0","0","9","1","0","0","2","0.22","4","50 %","Banty","bbulls"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Lal Mohar Yadav","bbulls"
"72","572","29","72.57 %","835","64.91","18","23","542","7.52","3","0","30","0.37","82","36.58 %","Pawan Kumar Sehrawat","bbulls"
"29","54","7","70.43 %","115","39.13","0","0","45","1.55","2","0","9","0.24","23","39.13 %","Sumit Singh","bbulls"
"29","61","8","75.54 %","184","28.26","0","0","52","1.79","0","0","9","0.31","37","24.32 %","Vinod Kumar","bbulls"
"10","16","5","78.57 %","42","11.9","0","0","5","0.5","2","1","11","0.9","26","42.3 %","Mohit Sehrawat","bbulls"
"22","23","3","0","0","0","0","0","0","0","0","0","23","1.04","70","32.85 %","Raju Lal Choudhary","bbulls"
"21","14","3","88.88 %","9","33.33","0","0","3","0.14","3","0","11","0.38","39","28.2 %","Vijay Kumar","bbulls"
"60","165","10","89.47 %","19","5.26","0","0","1","0.01","13","12","164","2.51","316","51.89 %","Mahender Singh","bbulls"
"1","1","1","0","0","0","0","0","0","0","0","0","1","1","3","33.33 %","Aman","bbulls"
"14","19","4","50 %","2","0","0","0","0","0","3","0","19","1.14","45","42.22 %","Sandeep","bbulls"
"15","40","8","100 %","1","100","0","0","1","0.06","5","4","39","2.26","69","56.52 %","Saurabh Nandal","bbulls"
"14","6","2","0","0","0","0","0","0","0","0","0","6","0.42","29","20.68 %","Ajay","bbulls"
"35","71","5","0","1","0","0","0","0","0","5","4","71","1.88","146","48.63 %","Amit Sheoran","bbulls"
"11","8","3","100 %","9","0","0","0","0","0","1","0","8","0.63","24","33.33 %","Ankit","bbulls"
"82","156","7","81.62 %","185","24.32","0","0","45","0.54","13","4","111","1.19","270","41.11 %","Ashish Kumar","bbulls"
