"matches played","total points earned","Most points in a match","not out %","total raids","Successful Raids %","No of Super Raids","Super 10s","Total Raid Points","Average Raid Points / Match","No of super tackles","high 5s","Total tackle points","average tackle / match","Total tackles","TACKLE STRIKE RATE","player_name","team"
"16","138","17","79.66 %","241","57.26","4","6","138","8.62","0","0","0","0","6","0","Maninder Singh","bwarriors"
"16","89","12","78.73 %","174","50","3","3","87","5.43","0","0","2","0.12","12","16.66 %","K. Prapanjan","bwarriors"
"3","1","1","25 %","4","0","0","0","0","0","0","0","1","0.33","4","25 %","Mohammad Taghi Paein Mahali","bwarriors"
"1","3","3","50 %","2","150","0","0","3","3","0","0","0","0","0","0","Rakesh Narwal","bwarriors"
"1","0","0","66.66 %","3","0","0","0","0","0","0","0","0","0","0","0","Ravindra Ramesh Kumawat","bwarriors"
"10","29","8","85.48 %","62","45.16","2","0","28","2.8","0","0","1","0.1","2","50 %","Sukesh Hegde","bwarriors"
"3","1","1","0","0","0","0","0","0","0","0","0","1","0.33","8","12.5 %","Naveen Narwal","bwarriors"
"3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","Amit","bwarriors"
"16","44","7","80 %","5","0","0","0","0","0","5","5","44","2.43","77","57.14 %","Baldev Singh","bwarriors"
"15","26","4","0","0","0","0","0","0","0","1","0","26","1.66","66","39.39 %","Jeeva Kumar","bwarriors"
"7","6","3","0","0","0","0","0","0","0","0","0","6","0.85","26","23.07 %","Viraj Vishnu Landge","bwarriors"
"8","3","2","0","0","0","0","0","0","0","0","0","3","0.37","8","37.5 %","Adarsh T","bwarriors"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Dharmendra Singh","bwarriors"
"16","42","5","100 %","2","0","0","0","0","0","2","3","42","2.5","86","48.83 %","Rinku Narwal","bwarriors"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Amir Santosh Dhumal","bwarriors"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Avinash A. R.","bwarriors"
"16","86","10","80.5 %","159","38.99","3","1","62","3.87","2","1","24","1.37","44","54.54 %","Mohammad Esmaeil Nabibakhsh","bwarriors"
"5","4","2","0","0","0","0","0","0","0","0","0","4","0.8","18","22.22 %","Mayur Shivtarkar","bwarriors"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sourabh Tanaji Patil","bwarriors"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sunil Manik Dubile","bwarriors"
"16","78","13","71.36 %","213","34.74","1","2","74","4.62","0","0","4","0.25","16","25 %","Rohit Kumar","bbulls"
"9","11","4","64.28 %","28","32.14","0","0","9","1","0","0","2","0.22","4","50 %","Banty","bbulls"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Lal Mohar Yadav","bbulls"
"16","216","29","74.4 %","293","70.3","5","10","206","12.87","1","0","10","0.56","22","45.45 %","Pawan Kumar Sehrawat","bbulls"
"12","30","7","68.25 %","63","42.85","0","0","27","2.25","1","0","3","0.16","8","37.5 %","Sumit Singh","bbulls"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","Vinod Kumar","bbulls"
